Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
46094,-96,552,-804,83,-34.8,-124.95,-57.15,22,29
46281,-132,572,-816,83,-35.1,-124.5,-56.25,37,29
46330,-160,544,-884,78,-36.3,-125.1,-55.95,37,29
46488,-80,588,-804,65,-36.6,-125.55,-55.35,26,29
46530,-44,640,-928,50,-36.6,-126.75,-55.2,37,29
46698,-16,520,-896,34,-35.85,-126.3,-55.35,30,29
46880,-84,340,-864,29,-32.85,-126.6,-57.6,33,29
46914,-4,456,-912,32,-31.5,-126,-56.7,30,29
47064,-40,524,-908,33,-31.8,-125.1,-52.35,18,29
47226,-48,544,-860,41,-33.6,-125.4,-50.1,7,29
47258,-64,516,-864,40,-34.35,-124.5,-49.2,7,29
47410,28,524,-868,39,-35.1,-124.2,-48.45,22,29
47502,-64,448,-824,63,-33.15,-123.15,-47.25,22,29
47663,-48,480,-952,61,-31.65,-123,-45.9,18,29
47825,-44,468,-900,64,-30.3,-122.25,-47.1,18,29
47858,48,508,-936,65,-31.2,-122.7,-48.6,22,29
48009,-116,368,-824,66,-27.45,-122.4,-50.1,7,29
48193,-160,500,-924,54,-26.1,-121.8,-49.2,33,29
48242,-116,508,-928,66,-26.4,-122.85,-49.35,37,29
48401,-156,472,-852,81,-27.45,-122.85,-51.6,30,29
48456,-144,540,-848,81,-29.55,-123,-51.45,18,29
48608,-136,540,-820,86,-32.55,-123.6,-52.05,7,29
48815,32,584,-832,93,-36.45,-125.25,-54,18,29
48866,-52,552,-852,86,-35.55,-125.25,-54.15,15,29
49023,-20,560,-876,84,-35.85,-124.05,-53.7,7,29
49184,-96,472,-860,74,-33,-124.5,-52.5,7,29
49218,-92,528,-904,62,-30.3,-124.05,-51.15,18,29
49368,-108,504,-884,51,-29.55,-123.45,-49.95,7,29
49553,-36,540,-892,43,-29.55,-122.55,-49.05,18,29
49598,-56,540,-880,42,-30.9,-123.15,-50.1,18,29
49760,-96,472,-836,45,-30.9,-123.15,-50.25,26,29
49921,-92,512,-920,46,-30.15,-123.15,-49.65,15,29
49954,-92,512,-884,55,-30,-122.85,-50.7,18,29
50106,-88,500,-844,50,-30.75,-123.45,-50.1,18,29
50267,-52,516,-896,52,-30.6,-123.3,-51,18,29
50298,-68,496,-852,55,-31.2,-123.75,-51.75,37,29
50451,-120,508,-836,57,-32.1,-123.3,-51,11,29
50514,-64,516,-924,57,-31.35,-124.05,-50.55,15,29
50682,-40,488,-840,57,-32.4,-123.75,-52.05,7,29
50866,-56,548,-896,58,-33.15,-123.9,-51,15,29
50902,-52,480,-864,59,-31.8,-124.05,-51.3,18,29
51050,-76,504,-840,60,-33.15,-124.2,-51.45,18,29
51134,-60,540,-928,59,-32.4,-124.05,-50.1,18,29
51281,-36,476,-832,58,-31.8,-123.9,-51.45,30,29
51442,-80,536,-912,56,-32.25,-123.15,-50.7,41,29
51474,-52,512,-892,58,-31.65,-123.6,-51.15,15,29
51626,-64,496,-852,59,-32.4,-123.6,-51.45,48,29
51718,-48,516,-896,59,-33.3,-124.05,-51.15,37,29
51880,-56,508,-868,57,-33.75,-123.9,-51.15,33,29
52064,-52,504,-868,60,-33.15,-123.6,-51,11,29
52110,-56,508,-872,60,-32.7,-124.35,-51.3,33,29
52271,-56,512,-888,60,-33.15,-123.75,-50.85,26,29
52433,-52,496,-872,56,-32.25,-123.75,-50.25,18,29
52466,-60,508,-884,56,-33,-124.35,-49.8,18,29
52617,-40,500,-904,56,-33.3,-121.8,-45.9,11,29
52778,-56,492,-880,57,-32.7,-122.4,-45.15,7,29
52810,-44,500,-864,64,-32.7,-121.65,-45.45,11,29
52963,-80,492,-872,74,-31.8,-121.2,-44.85,7,29
53124,-76,496,-900,71,-31.2,-120.9,-44.1,15,29
53158,-68,500,-904,74,-30.45,-120.9,-44.25,26,29
53308,-28,456,-856,75,-31.35,-120.75,-45.15,11,29
53366,-40,480,-876,73,-32.4,-121.65,-44.7,18,29
53516,-88,516,-908,73,-31.95,-120.6,-42,7,29
53566,-72,472,-860,73,-32.25,-120.3,-42.3,15,29
53723,-48,492,-884,75,-31.8,-120.15,-42.75,30,29
53766,-48,504,-848,76,-33,-121.5,-43.2,26,29
53933,-44,512,-868,74,-33.3,-120.75,-42.6,15,29
53986,-32,488,-900,63,-32.85,-119.85,-40.95,30,29
54138,-72,504,-896,60,-32.1,-118.65,-40.8,11,29
54299,-44,476,-880,60,-33.9,-119.7,-41.55,26,29
54346,-24,492,-872,69,-33.3,-119.25,-40.8,18,29
54506,-48,508,-900,60,-32.1,-120.45,-39.75,22,29
54546,-80,480,-880,60,-32.1,-119.7,-40.05,11,29
54714,-32,504,-896,61,-32.7,-120.3,-40.65,33,29
54746,-44,504,-872,60,-32.1,-119.1,-40.8,33,29
54898,-52,496,-908,59,-31.8,-120,-40.2,15,29
54990,-68,508,-896,58,-31.5,-119.25,-41.1,18,29
55151,-52,500,-876,63,-31.05,-120,-41.4,18,29
55313,-84,480,-876,74,-30.75,-120.15,-40.65,18,29
55346,-84,512,-868,77,-31.2,-119.55,-40.35,15,29
55497,-88,520,-868,81,-31.05,-119.25,-40.8,18,29
55661,-36,512,-884,81,-31.5,-119.7,-41.1,18,29
55710,-52,484,-844,83,-31.2,-119.55,-40.8,3,29
55866,-116,508,-936,82,-29.25,-118.65,-40.35,11,29
55942,-128,476,-856,81,-29.25,-118.5,-40.35,18,29
56096,-100,516,-888,81,-29.25,-118.65,-39.15,18,29
56465,-108,488,-848,80,-28.65,-118.95,-39.15,15,29
56515,-128,524,-908,82,-28.65,-119.1,-39,41,29
56672,-80,496,-836,84,-30.15,-118.2,-39.9,18,29
56734,-84,472,-900,83,-29.7,-118.05,-40.35,26,29
56902,-164,488,-876,84,-28.95,-118.5,-40.2,41,29
57156,-44,512,-820,85,-31.5,-119.25,-42,7,29
57194,-84,516,-892,90,-31.05,-119.1,-40.95,15,29
57340,-112,476,-832,83,-31.05,-118.5,-41.25,30,29
57502,-104,512,-888,84,-30.3,-119.55,-40.8,33,29
57538,-76,504,-860,83,-31.05,-119.7,-41.7,37,29
57688,-92,508,-868,85,-29.55,-118.65,-40.8,37,29
57893,-116,496,-904,87,-28.8,-117.9,-39.9,22,29
57934,-148,464,-880,79,-28.65,-118.05,-39.15,22,29
58101,-132,484,-896,79,-28.65,-117.9,-39,37,29
58262,-92,504,-892,75,-29.25,-118.05,-39.15,15,29
58295,-92,496,-848,77,-29.55,-118.65,-39.9,22,29
58446,-88,496,-868,82,-29.7,-118.8,-39.6,41,29
58534,-104,488,-868,81,-30.15,-118.65,-40.2,33,29
58700,-68,488,-872,84,-31.95,-119.7,-40.5,18,29
58734,-64,516,-876,84,-31.8,-119.25,-41.4,22,29
58884,-80,496,-852,83,-32.1,-118.5,-40.95,3,29
59137,-88,480,-896,83,-31.8,-117.9,-40.35,18,29
59178,-68,504,-888,83,-31.8,-119.55,-39.9,37,29
59345,-84,480,-880,81,-30.9,-119.1,-39.45,11,29
59506,-100,452,-884,76,-31.35,-118.2,-37.8,26,29
59540,-64,472,-884,73,-30.9,-117,-34.8,15,29
59690,-60,480,-904,73,-30.9,-117.45,-33.45,11,29
59875,-28,480,-892,69,-32.55,-117.45,-34.5,18,29
59918,-4,472,-896,65,-33.3,-118.05,-34.95,22,29
60082,-32,476,-880,64,-33.6,-118.05,-34.8,11,29
60118,-44,464,-912,62,-32.85,-117.6,-34.05,11,29
60266,-52,468,-904,63,-32.55,-117.45,-33.45,26,29
60428,-40,472,-904,63,-32.7,-117.75,-33.3,11,29
60478,-12,472,-872,54,-34.8,-117.75,-34.65,22,29
60635,4,484,-884,45,-36,-119.25,-34.65,11,29
60796,0,472,-860,43,-35.7,-118.2,-33.75,22,29
60830,-4,472,-920,45,-35.55,-118.35,-31.95,11,29
60981,-24,408,-872,61,-34.5,-117.6,-32.25,11,29
61030,44,424,-892,69,-33.15,-117.75,-30.45,15,29
61188,-24,436,-948,68,-32.55,-116.4,-28.5,7,29
61351,-48,392,-932,68,-30.75,-115.95,-26.85,33,29
61382,-52,412,-948,71,-31.05,-117.15,-27.6,30,29
61534,-16,400,-956,70,-30.6,-116.7,-29.85,11,29
61695,0,496,-972,54,-32.85,-117.6,-31.8,22,29
61726,-16,448,-848,58,-34.65,-118.2,-34.05,11,29
61879,-32,380,-736,75,-36.3,-118.35,-36.45,3,29
62040,4,500,-916,82,-38.25,-118.95,-34.5,0,29
62074,104,536,-944,81,-39.15,-119.1,-35.4,7,29
62225,-68,352,-868,82,-36.75,-119.55,-35.7,15,29
62386,-52,500,-912,80,-37.5,-119.85,-35.25,33,29
62418,8,468,-884,83,-37.2,-119.1,-34.5,37,29
62571,-4,476,-924,82,-38.4,-118.95,-35.4,30,29
62732,56,488,-860,82,-39,-119.1,-37.35,45,29
62770,8,444,-864,83,-38.4,-119.7,-37.65,41,29
62939,64,524,-904,81,-40.5,-119.85,-39.15,33,29
62972,28,492,-884,80,-40.05,-120.15,-38.4,15,29
63123,76,500,-868,81,-40.65,-120.15,-38.85,7,29
63202,32,500,-888,78,-41.25,-119.85,-38.85,18,29
63354,64,516,-824,79,-42.15,-120.15,-38.25,22,29
63584,72,468,-856,80,-36.45,-119.4,-35.55,52,29
63618,-8,456,-912,82,-33.6,-119.1,-33.3,48,29
63768,-80,364,-900,86,-28.65,-117.15,-29.85,30,29
63822,-128,416,-1052,86,-23.85,-117,-27.6,33,29
63976,-124,372,-996,88,-20.7,-115.05,-25.5,41,29
64160,-244,336,-832,85,-13.2,-111.75,-23.85,41,29
64198,-260,408,-876,86,-12.3,-110.55,-23.55,48,29
64344,-300,344,-908,85,-9,-109.95,-21.9,45,29
64506,-320,268,-940,82,-6,-109.5,-21.6,26,29
64538,-312,212,-924,82,-2.85,-107.55,-17.4,22,29
64690,-352,192,-916,81,-1.2,-107.7,-18.75,41,29
64784,-196,312,-984,81,-4.65,-108.75,-18,60,29
64943,-240,332,-948,78,-5.7,-110.7,-18.75,48,29
65105,-292,288,-928,73,-4.5,-109.8,-19.2,75,29
65138,-192,352,-992,74,-5.55,-109.2,-18.3,71,29
65289,-240,288,-884,74,-5.85,-109.2,-19.5,75,29
65450,-376,268,-908,73,0.9,-108.75,-21,75,29
65502,-220,340,-980,74,-2.7,-109.05,-19.8,75,29
65658,-136,420,-928,74,-5.85,-110.25,-18.45,37,29
65702,-208,308,-888,73,-5.4,-110.85,-19.95,37,29
65865,-336,236,-956,73,-1.8,-109.35,-21,63,29
66026,-248,320,-948,73,-6.45,-111.3,-23.55,41,29
66078,-232,252,-840,73,-7.35,-111.75,-25.2,30,29
66234,-168,344,-836,73,-9.6,-112.35,-24.9,26,29
66395,-212,380,-968,71,-10.2,-112.2,-22.5,11,29
66426,-200,320,-1012,71,-10.95,-113.4,-24.6,18,29
66628,-128,340,-892,76,-15.15,-117.6,-31.65,15,29
66658,-32,540,-1004,69,-20.4,-119.85,-36.6,67,29
66810,-116,448,-908,65,-22.35,-121.05,-39.9,45,29
66971,-84,628,-736,75,-23.85,-119.7,-39,26,29
67002,-116,588,-600,80,-29.25,-123.15,-50.7,18,29
67155,252,804,-644,76,-37.2,-125.85,-58.35,37,29
67340,16,740,-568,78,-41.7,-127.05,-64.35,37,29
67374,124,768,-660,85,-43.5,-126.6,-61.95,45,29
67524,84,776,-744,84,-42.3,-125.85,-59.1,26,29
67574,-68,668,-752,82,-37.8,-125.85,-55.95,48,29
67731,-16,676,-776,84,-35.1,-124.65,-54.3,41,29
67916,-148,640,-864,85,-29.55,-123.6,-49.65,33,29
67950,-124,644,-780,84,-30.45,-123.45,-50.1,37,29
68100,-44,672,-792,85,-30.75,-123.6,-50.4,33,29
68182,-24,748,-804,83,-31.95,-124.5,-53.7,18,29
68333,-148,780,-692,81,-32.55,-125.25,-59.55,18,29
